id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
458376,ネオ チンピラ 続 鉄砲玉ぴゅ～,12.6438,0.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
460465,Mortal Kombat,45.5102,7.046,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
472269,Possum,19.4342,6.132,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
47971,xXx: Reactivated,26.695,6.131,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
48650,Habitación en Roma,53.7889,6.405,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
4935,El castillo ambulante,24.1916,8.387,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
496243,Parásitos,33.7178,8.494,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
497,La milla verde,24.2155,8.507,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
502356,Super Mario Bros: La película,24.5844,7.605,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
519182,Gru 4. Mi villano favorito,28.9875,6.988,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
533535,Deadpool y Lobezno,35.3097,7.572,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
550,El club de la lucha,25.4911,8.438,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
557,Spider-Man,27.5345,7.332,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
569094,Spider-Man: Cruzando el Multiverso,26.3405,8.3,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
575265,Misión: Imposible - Sentencia final,24.9217,7.169,TE+7,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
58,Piratas del Caribe: El cofre del hombre muerto,20.134,7.381,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
585,"Monstruos, S.A.",27.5899,7.851,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
597,Titanic,31.9856,7.903,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
603,Matrix,50.7005,8.248,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
61823,Se acabó el negocio,17.7971,7.3,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
6312,El pacto de los lobos,22.9054,6.743,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
634649,Spider-Man: No Way Home,43.0733,7.9,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
64641,La colegiala se enamora,12.3862,4.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
672,Harry Potter y la cámara secreta,38.2596,7.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
673,Harry Potter y el prisionero de Azkaban,39.0601,8.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
